FORMULA	FIXEDMASS
C6H6F7NO2	257.028676
C9H16F3N2O3	257.1107535
CHF7O3S2	257.9255334
C5HF7O4	257.9763061
C6H2F8O2	257.9927051
C5H7F5O4S	257.9985208
C7H3F9	258.0091041
C6H5F7O3	258.0126916
C6H5F7O3	258.0126916
C7H6F8O	258.0290906
C7H6F8O	258.0290906
C9H17F3N2O3	258.1191271
C4H2F6O4S	259.9577989
C5H3F7O4	259.9919561
C7H7F3O5S	259.996629
C6H4F8O2	260.0083551
C7H5F9	260.0247541
C10H7F7	260.0435978
C10H7F7	260.0435978
C10H7F7	260.0435978
C9H6F7N	261.0388467
C9H6F7N	261.0388467
C9H6F7N	261.0388467
C4HF7O3S	261.9534624
C5H2ClF7O2	261.9631545
C7H4F5O3P	261.9818217
C6F10	261.9840322
C5H2F8O3	261.9876197
C6H6ClF7O	261.99954
C6H3F9O	262.0040187
C6H3F9O	262.0040187
C6H3F9O	262.0040187
C9H5F7O	262.0228623
C9H5F7O	262.0228623
C6H6F8O2	262.0240052
C8H5F7N2	262.0340957
C7H7F9	262.0404042
C9H11F5O3	262.0628353
C4H4F7NO2S	262.9850969
C5H2F9NO	262.9992677
C8H4F7NO	263.0181113
C7H12F3NO4S	263.0439135
C7H12F3NO4S	263.0439135
C4F8O2S	263.949126
C4H3F7O3S	263.9691125
C5HF9O2	263.9832833
C6H2F10	263.9996823
C7H3F7N2O	264.0133603
C9H4F8	264.0185259
C6H5F9O	264.0196688
C6H5F9O	264.0196688
C6H5F9O	264.0196688
C6H5F9O	264.0196688
C9H15F5NO2	264.1017462
C8H6F7NO	265.0337614
C8H14F5N2O2	265.0969952
C3HClF6O3S	265.9239119
C3H2ClF6O3P	265.9334276
C3HF7O4S	265.9483771
C5H3Cl2F7	265.950003
C5F10O	265.9789468
C5F10O	265.9789468
C5F10O	265.9789468
C5F10O	265.9789468
C5F10O	265.9789468
C5H3F9O2	265.9989333
C7H7F5O3S	266.0036062
C6H4F10	266.0153323
C8H5F7O2	266.0177769
C9H9F7O	266.0541624
C10H13F7	266.090548
C6H4F7N3O	267.0242593
C8H8F7NO	267.0494114
C7H9F5O3S	268.0192562
C8H7F7O2	268.033427
C8H7F7O2	268.033427
C8H7F7O2	268.033427
C8H7F7O2	268.033427
C8H7F7O2	268.033427
C8H7F7O2	268.033427
C8H7F7O2	268.033427
C8H7F7O2	268.033427
C9H8F8	268.049826
C5H2F7N3S	268.9857656
C7H6F7NO2	269.028676
C8H10F7NO	269.0650615
C8H10F7NO	269.0650615
C8H10F7NO	269.0650615
C8H10F7NO	269.0650615
C8H10F7NO	269.0650615
C4Cl2F8	269.9249311
C4Cl2F8	269.9249311
C5HF11	269.9902605
C7H5F7O3	270.0126916
C7H5F7O3	270.0126916
C7H5F7O3	270.0126916
C11H5F7	270.0279477
C5H5F7N4O	270.0351583
C8H9F7O2	270.0490771
C8H9F7O2	270.0490771
C8H9F7O2	270.0490771
C8H9F7O2	270.0490771
C8H9F7O2	270.0490771
C8H9F7O2	270.0490771
C8H9F7O2	270.0490771
C9H13F7O	270.0854626
C4H8F3NO5S2	270.979599
C5H6F5NO4S	270.9937698
C7H8F7NO2	271.044326
C7H8F7NO2	271.044326
C7H8F7NO2	271.044326
C3HF9O2S	271.9553543
C10F8	271.9872258
C6H3F7O4	271.9919561
C7H7F7OS	272.0105834
C9H3F7N2	272.0184456
C8H5F9	272.0247541
C8H11F7O2	272.0647271
C7H4F9N	273.0200031
C10H6F7N	273.0388467
C5H2BrF7	273.9228097
C5H2BrF7	273.9228097
C4H4F5I	273.9277892
C5HF7O3S	273.9534624
C7H3F9O	274.0040187
C10H5F7O	274.0228623
C10H5F7O	274.0228623
C10H5F7O	274.0228623
C7H9F7O3	274.0439917
C8H12F8N	274.0836516
C6H5ClF7NO	274.994789
C10H8F7N	275.0544968
C4BrF7O	275.9020743
C4BrF7O	275.9020743
C5Cl2F6O2	275.9179539
C5H4BrF7	275.9384598
C5H4BrF7	275.9384598
C4H2F6O5S	275.9527135
C4H2F6O5S	275.9527135
C6HF9O2	275.9832833
C6HF9O2	275.9832833
C6H4F8O3	276.0032697
C7H5F9O	276.0196688
C7H5F9O	276.0196688
C7H5F9O	276.0196688
C10H7F7O	276.0385124
C10H7F7O	276.0385124
C10H7F7O	276.0385124
C9H7F7N2	276.0497458
C9H7F7N2	276.0497458
C8H9F9	276.0560543
C5H6F7NO2S	277.000747
C6H4F9NO	277.0149177
C9H6F7NO	277.0337614
C9H6F7NO	277.0337614
C9H6F7NO	277.0337614
C4HF7O4S	277.9483771
C4HF7O4S	277.9483771
C4H4F6O5S	277.9683635
C6F10O	277.9789468
C6F10O	277.9789468
C5H2F8O4	277.9825343
C5H5F7O3S	277.9847626
C6H3F9O2	277.9989333
C6H3F9O2	277.9989333
C6H3F9O2	277.9989333
C7H7F9O	278.0353188
C7H7F9O	278.0353188
C7H13F3N2O4S	278.0548126
C10H17F5NO2	278.1173963
C8H4F7NO2	279.0130259
C6H6F9NO	279.0305678
C4F8O3S	279.9440406
C4H3F7O4S	279.9640271
C6H2ClF9	279.9701317
C4H4F7O4P	279.9735428
C5HF9O3	279.9781979
C5HF9O3	279.9781979
C5HF9O3	279.9781979
C6H5F9S	279.9968251
C7H3F7N2O2	280.0082749
C7H3F7N2O2	280.0082749
C6H5F9O2	280.0145834
C6H3F7N4O	280.0195083
C9H7F7O2	280.033427
C7H7F7N4	280.0558938
C4Cl2F7NO	280.9245165
C8H3ClF7N	280.9842243
C8H3ClF7N	280.9842243
C8H3ClF7N	280.9842243
C8H3ClF7N	280.9842243
